"","tissue","color"
"4. MCE (ARF13)","4. MCE (ARF13)","#97576b"
"16. ii1 endothelium (BAN and TT1)","16. ii1 endothelium (BAN and TT1)","#aed6f1"
"23. oi1 flavinol synthesizing (MYB11)","23. oi1 flavinol synthesizing (MYB11)","#bb8fce"
"5. PEN general (AGL62)","5. PEN general (AGL62)","#ceaab5"
"20. ii2 general (DELTAVPE and STK)","20. ii2 general (DELTAVPE and STK)","#21618c"
"24. oi1 flavinol synthesizing high PCD (MYB11, SCOOP15, BAP1)","24. oi1 flavinol synthesizing high PCD (MYB11, SCOOP15, BAP1)","#bb8fce"
"14. CZSC placentochalazal (ARR22, SWEET10, and UMAMIT14)","14. CZSC placentochalazal (ARR22, SWEET10, and UMAMIT14)","#088F8F"
"25. oi1 flavinol synthesizing  S-phase (MYB11 and BARD1)","25. oi1 flavinol synthesizing  S-phase (MYB11 and BARD1)","#bb8fce"
"26. oi2 general I (GLABRA2)","26. oi2 general I (GLABRA2)","#6c3483"
"15. CZSC placentochalazal distal (ARR22 and TET5)","15. CZSC placentochalazal distal (ARR22 and TET5)","#088F8F"
"17. ii1 basal (contains pigment strand) (BAN and SWEET4)","17. ii1 basal (contains pigment strand) (BAN and SWEET4)","#aed6f1"
"28. oi2 general II (GLABRA2 and WRKY40)","28. oi2 general II (GLABRA2 and WRKY40)","#6c3483"
"21. ii2 micropylar (DELTAVPE, SWEET12)","21. ii2 micropylar (DELTAVPE, SWEET12)","#21618c"
"27. oi2 LTP-enriched (LTP1)","27. oi2 LTP-enriched (LTP1)","#6c3483"
"11. CPT persistent nucellus (AGO3)","11. CPT persistent nucellus (AGO3)","#044747"
"13. CZSC xylem adjacent (ARR22 and AAP6)","13. CZSC xylem adjacent (ARR22 and AAP6)","#088F8F"
"12. NUC transient nucellus (PLL24)","12. NUC transient nucellus (PLL24)","#044747"
"29. oi2 very long chain fatty acid-synthesizing (KCS6 and WRI4)","29. oi2 very long chain fatty acid-synthesizing (KCS6 and WRI4)","#6c3483"
"10. OVL scenescing (BFN1)","10. OVL scenescing (BFN1)","#a6acaf"
"8. FUN epidermal (CER3)","8. FUN epidermal (CER3)","#f1c40f"
"1. EMB (PDF1)","1. EMB (PDF1)","#57A15D"
"19. ii1' (DELTAVPE and UMAMIT29)","19. ii1' (DELTAVPE and UMAMIT29)","#5dade2"
"30. oi2 S-phase (GLABRA2 and BARD1)","30. oi2 S-phase (GLABRA2 and BARD1)","#6c3483"
"6. PEN G2/M-phase (AGL62 and TOPII)","6. PEN G2/M-phase (AGL62 and TOPII)","#ceaab5"
"2. CZE apical cyst (ASK3)","2. CZE apical cyst (ASK3)","#ce0d48"
"3. CZE basal cyst (RALFL3)","3. CZE basal cyst (RALFL3)","#ce0d48"
"7. FUN hilum (ADPG1)","7. FUN hilum (ADPG1)","#f1c40f"
"9. FUN companion cells (SUC2)","9. FUN companion cells (SUC2)","#f1c40f"
"18. ii1 endothelium  S-phase (BAN and BARD1)","18. ii1 endothelium  S-phase (BAN and BARD1)","#aed6f1"
"22. ii2 S-phase (DELTAVPE and BARD1)","22. ii2 S-phase (DELTAVPE and BARD1)","#21618c"
