"","tissue","color"
"21. oi2 general (GLABRA2)","21. oi2 general (GLABRA2)","#6c3483"
"1. EMB inner cotyledon (XYL4)","1. EMB inner cotyledon (XYL4)","#57A15D"
"12. MCE_ESR sheath promoting (ZOU, RGP3 and KRS)","12. MCE_ESR sheath promoting (ZOU, RGP3 and KRS)","#97576b"
"8. CZE photosynthetic (GA3OX4)","8. CZE photosynthetic (GA3OX4)","#ce0d48"
"6. EMB cortical initials (JKD)","6. EMB cortical initials (JKD)","#57A15D"
"20. oi1 polyester monomer biosynthesis (MYB11 and CYP86B1)","20. oi1 polyester monomer biosynthesis (MYB11 and CYP86B1)","#bb8fce"
"4. EMB vascular primordium (SHR)","4. EMB vascular primordium (SHR)","#57A15D"
"11. MCE_ESR high PCD (ZOU and NAC074)","11. MCE_ESR high PCD (ZOU and NAC074)","#97576b"
"13. PEN (ABS6)","13. PEN (ABS6)","#ceaab5"
"2. EMB protoderm (PDF1)","2. EMB protoderm (PDF1)","#57A15D"
"19. oi1 flavinol synthesizing (MYB11)","19. oi1 flavinol synthesizing (MYB11)","#bb8fce"
"18. ii1'/ii2 (DELTAVPE)","18. ii1'/ii2 (DELTAVPE)","#5dade2"
"3. EMB dividing (MAD2, HMGB6)","3. EMB dividing (MAD2, HMGB6)","#57A15D"
"15. CZSC general (ARR22, SWEET10, and TET5)","15. CZSC general (ARR22, SWEET10, and TET5)","#088F8F"
"5. EMB ground tissue initials (JKD, SCR)","5. EMB ground tissue initials (JKD, SCR)","#57A15D"
"14. PEN dehydrin enriched (ERD10)","14. PEN dehydrin enriched (ERD10)","#ceaab5"
"17. ii1 endothelium (BAN and TT1)","17. ii1 endothelium (BAN and TT1)","#aed6f1"
"16. ii1 basal (contains pigment strand) (BAN and SWEET4)","16. ii1 basal (contains pigment strand) (BAN and SWEET4)","#aed6f1"
"10. CZE disaccharide metabolic (ARR21)","10. CZE disaccharide metabolic (ARR21)","#ce0d48"
"9. CZE LEA-enriched (ABR)","9. CZE LEA-enriched (ABR)","#ce0d48"
"7. EMB hypophysis (SMB)","7. EMB hypophysis (SMB)","#57A15D"
