"","tissue","color"
"5","5","#97576b"
"17","17","#aed6f1"
"21","21","#bb8fce"
"6","6","#ceaab5"
"20","20","#21618c"
"1","1","#57A15D"
"22","22","#bb8fce"
"15","15","#088F8F"
"25","25","#6c3483"
"16","16","#088F8F"
"18","18","#aed6f1"
"27","27","#6c3483"
"23","23","#bb8fce"
"13","13","#044747"
"14","14","#088F8F"
"26","26","#6c3483"
"12","12","#044747"
"11","11","#a6acaf"
"9","9","#f1c40f"
"19","19","#5dade2"
"28","28","#6c3483"
"24","24","#bb8fce"
"7","7","#ceaab5"
"2","2","#ce0d48"
"4","4","#ce0d48"
"3","3","#ce0d48"
"8","8","#f1c40f"
"10","10","#f1c40f"
