"","tissue","color"
"7","7","#ceaab5"
"23","23","#21618c"
"26","26","#bb8fce"
"29","29","#6c3483"
"25","25","#bb8fce"
"27","27","#bb8fce"
"10","10","#ceaab5"
"17","17","#088F8F"
"6","6","#97576b"
"3","3","#ce0d48"
"8","8","#ceaab5"
"20","20","#aed6f1"
"24","24","#21618c"
"28","28","#bb8fce"
"5","5","#ce0d48"
"9","9","#ceaab5"
"12","12","#ceaab5"
"22","22","#5dade2"
"16","16","#044747"
"14","14","#ceaab5"
"30","30","#6c3483"
"13","13","#ceaab5"
"18","18","#088F8F"
"31","31","#6c3483"
"32","32","#6c3483"
"19","19","#088F8F"
"1","1","#57A15D"
"33","33","#6c3483"
"11","11","#ceaab5"
"2","2","#ce0d48"
"15","15","#f1c40f"
"4","4","#ce0d48"
"21","21","#aed6f1"
