"","tissue","color"
"7. PEN general I (IMK2)","7. PEN general I (IMK2)","#ceaab5"
"23. ii2 general (DELTAVPE and STK)","23. ii2 general (DELTAVPE and STK)","#21618c"
"26. oi1 basal (MYB11 and PIN3)","26. oi1 basal (MYB11 and PIN3)","#bb8fce"
"29. oi2 LTP-enriched (LTP1)","29. oi2 LTP-enriched (LTP1)","#6c3483"
"25. oi1 flavinol synthesizing (MYB11)","25. oi1 flavinol synthesizing (MYB11)","#bb8fce"
"27. oi1 flavinol synthesizing high PCD (MYB11, SCOOP15, BAP1)","27. oi1 flavinol synthesizing high PCD (MYB11, SCOOP15, BAP1)","#bb8fce"
"10. PEN general V (PTR3)","10. PEN general V (PTR3)","#ceaab5"
"17. CZSC xylem adjacent (ARR22 and AAP6)","17. CZSC xylem adjacent (ARR22 and AAP6)","#088F8F"
"6. MCE (ALE1)","6. MCE (ALE1)","#97576b"
"3. CZE apical cyst (ASK3)","3. CZE apical cyst (ASK3)","#ce0d48"
"8. PEN G2M-phase (MAD2)","8. PEN G2M-phase (MAD2)","#ceaab5"
"20. ii1 basal (contains pigment strand) (BAN and ARR22)","20. ii1 basal (contains pigment strand) (BAN and ARR22)","#aed6f1"
"24. ii2 micropylar (SWEET12)","24. ii2 micropylar (SWEET12)","#21618c"
"28. oi1 S-phase (MYB11 and TSO2)","28. oi1 S-phase (MYB11 and TSO2)","#bb8fce"
"5. CZE nodule (CYCD4;2)","5. CZE nodule (CYCD4;2)","#ce0d48"
"9. PEN S-phase (HMGB6)","9. PEN S-phase (HMGB6)","#ceaab5"
"12. PEN general VI (PLL26)","12. PEN general VI (PLL26)","#ceaab5"
"22. ii1' (DELTAVPE and UMAMIT29)","22. ii1' (DELTAVPE and UMAMIT29)","#5dade2"
"16. CPT apical persistent nucellus (AGO3)","16. CPT apical persistent nucellus (AGO3)","#044747"
"14. PEN general III (WRKY27)","14. PEN general III (WRKY27)","#ceaab5"
"30. oi2 general (GLABRA2)","30. oi2 general (GLABRA2)","#6c3483"
"13. PEN general IV (TGA9)","13. PEN general IV (TGA9)","#ceaab5"
"18. CZSC placentochalazal (ARR22, SWEET10, and UMAMIT14)","18. CZSC placentochalazal (ARR22, SWEET10, and UMAMIT14)","#088F8F"
"31. oi2 very long chain fatty acid-synthesizing (KCS6 and WRI4)","31. oi2 very long chain fatty acid-synthesizing (KCS6 and WRI4)","#6c3483"
"32. oi2 muciledge-associated (GLABRA2 and PRX36)","32. oi2 muciledge-associated (GLABRA2 and PRX36)","#6c3483"
"19. CZSC placentochalazal distal (ARR22 and TET5)","19. CZSC placentochalazal distal (ARR22 and TET5)","#088F8F"
"1. EMB (PDF1)","1. EMB (PDF1)","#57A15D"
"33. oi2  S-phase (GLABRA2, TSO2)","33. oi2  S-phase (GLABRA2, TSO2)","#6c3483"
"11. PEN general II (NAC075)","11. PEN general II (NAC075)","#ceaab5"
"2. CZE nodule-like (MEA)","2. CZE nodule-like (MEA)","#ce0d48"
"15. FUN epidermal (CER3)","15. FUN epidermal (CER3)","#f1c40f"
"4. CZE basal cyst (RALFL3 and LCR84)","4. CZE basal cyst (RALFL3 and LCR84)","#ce0d48"
"21. ii1 endothelium (BAN and TT1)","21. ii1 endothelium (BAN and TT1)","#aed6f1"
